"leisure"
"schoolyard"
"playground"
"common"
NULL
"amusement_arcade"
"dog_park"
"disc_golf_course"
"water_park"
"nature_reserve"
"pitch"
"sports_hall"
"bleachers"
"park"
"slipway"
"garden"
"range"
"sports_centre"
"bandstand"
"ice_rink"
"track"
"marina"
"stadium"
"fitness_centre"
"outdoor_seating"
"recreation_ground"
"fitness_station"
"miniature_golf"
"bowling_alley"
"swimming_pool"
"dance"
"golf_course"
"firepit"
